created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Dec 11 11:57:08 +0000 2023;1734180512292339779;"@Hamad313A Hamza Hamas";0;0;0;1;in;1583998196870782977;1734173840794628420;HamzaHamas5;https://twitter.com/HamzaHamas5/status/1734180512292339779
Mon Dec 11 11:56:56 +0000 2023;1734180463605060070;"@Muhammad_Saewad Nah...maunya pas kejadian begini hamas datang Al-Qassam datang";0;0;0;0;in;1698332078872641536;1732028014018408956;MamanSulae34179;https://twitter.com/MamanSulae34179/status/1734180463605060070
Mon Dec 11 11:56:55 +0000 2023;1734180458836148273;"Indonistan Hamas pesek ikut berita BBC:  "Pasukan Israel membunuh dua warga sipil Palestina saat mereka meninggalkan rumah mereka dengan membawa senjata mainan”  Pretttt... BBC dan media berita mainstream memang suka bikin berita hoax, kesukaan Hamas pesek https://t.co/UPtaNLbrlg";0;7;0;2;in;333908090;1734180458836148273;PapiW1N;https://twitter.com/PapiW1N/status/1734180458836148273
Mon Dec 11 11:56:22 +0000 2023;1734180321611178457;"saya ada di antara jutaan pendukung hamas";0;0;0;0;in;1581136830875197440;1734180321611178457;VadahJayadi;https://twitter.com/VadahJayadi/status/1734180321611178457
Mon Dec 11 11:56:20 +0000 2023;1734180312245252577;"Dampak perang di Israel-Hamas berdampak sangat luas, bahkan terhadap kampus-kampus ternama Amerika Serikat (AS) https://t.co/tZygiph5WT";0;0;0;1;in;132078023;1734180312245252577;officialinews_;https://twitter.com/officialinews_/status/1734180312245252577
Mon Dec 11 11:55:50 +0000 2023;1734180183891206288;"@_MbakSri_ Ahhhh Hamas pesek termewek di sini akan bilang ini hoax.... Biarin aja hoax terus sampai semua teroris Hamas lenyap dari muka bumi🤣";0;0;0;0;in;1661545705872445440;1734152516152291664;FerdAmp;https://twitter.com/FerdAmp/status/1734180183891206288
Mon Dec 11 11:55:45 +0000 2023;1734180166115729704;"Seekor keledai ditangkap dan digiring oleh sekompi tentara israel di tepi barat, keledai itu diduga sebagai anggota hamas https://t.co/tgY6Q8p0Hl";0;1;0;0;in;1679690796;1734180166115729704;deku09514060;https://twitter.com/deku09514060/status/1734180166115729704
Mon Dec 11 11:55:07 +0000 2023;1734180005033476500;"@TerahirPejuang @Valhallaah hamas punya rudal anti pesawat dan anti kapal otomatis zionis tinggal nama.  Lha wong intifadah 1 pake batu aja mampu berdiri Otoritas Palestina.  Zionis blingsatan setelah hamas menang pemilu  https://t.co/xWooERLdNj Intinya zionis lebih takut hamas berkuasa daripada fatah.";3;0;0;0;in;1188896232;1734016407510057124;Momonsimomon;https://twitter.com/Momonsimomon/status/1734180005033476500
Mon Dec 11 11:54:38 +0000 2023;1734179885747179653;"@Bernadotte22 Hamas";0;0;0;0;in;1715240456269754369;1734069065465889179;gavnaccount;https://twitter.com/gavnaccount/status/1734179885747179653
Mon Dec 11 11:54:33 +0000 2023;1734179863144309083;"@Bidda40 @M9Breaking Potato tisi lokesh gadi gudda lo pettara paccha hamas lnajkodaka";0;1;0;0;in;1027567640322035714;1734098352827191570;jaipawala123;https://twitter.com/jaipawala123/status/1734179863144309083
Mon Dec 11 11:54:20 +0000 2023;1734179807024607461;"🛒 https://t.co/AI5q0MAPtJ  Raffi ahmad hybe blackpink in your area kdrt npwp selena murder hamas home alone muhammad jungkook bem ugm hate you kebangun npwp ibu atikoh baekhyun pak sugeng we are one scbd namjoon adiba zara bem ugm ot7 see you in 2025 https://t.co/1OETQMCghP";1;0;0;0;in;1694114440365658112;1734179807024607461;ppf1701;https://twitter.com/ppf1701/status/1734179807024607461
Mon Dec 11 11:54:09 +0000 2023;1734179760677532020;"@Timesofgaza Semakinenguatkan bukti bahwa zionis israel  adalah pasukan yg jago berhadapan dengan gedung, anak-anak dan warga sipil Palestina, tapi tidak dengan pasukan pejuang Hamas.";0;0;0;0;in;735056976304971776;1734178366209634772;yoenkpinem;https://twitter.com/yoenkpinem/status/1734179760677532020
Mon Dec 11 11:53:40 +0000 2023;1734179640611323975;"Hamas nyerang tentara, iof ngebalesnya nyerang sipil. Pengecut.";0;0;0;0;in;193274211;1734179640611323975;indirrais;https://twitter.com/indirrais/status/1734179640611323975
Mon Dec 11 11:53:30 +0000 2023;1734179599955984471;"@Greschinov Inilah dinamakan kebegoan yg tidak bertepi,batu pun dia liat hamas 🤣🤣🤣🤣";0;0;0;0;in;1395670764729208834;1734142812181192797;Fara842;https://twitter.com/Fara842/status/1734179599955984471
Mon Dec 11 11:53:01 +0000 2023;1734179476836364486;"Sudah benar klu IDF serius memusnahkan hamas.";0;0;0;0;in;2365349058;1734179476836364486;CorollysL;https://twitter.com/CorollysL/status/1734179476836364486
Mon Dec 11 11:52:46 +0000 2023;1734179412201869514;"@drhossamsamy65 Hamas 😀";0;0;0;0;in;239411292;1733861028545360341;secular_myth;https://twitter.com/secular_myth/status/1734179412201869514
Mon Dec 11 11:52:02 +0000 2023;1734179230731362666;"@jericho_iii Merkava memang di design untuk melawan chemical round (seperti HEAT dari RPG) ditambah lagi sistem Active protection system yang bisa menangkal rpg /atgm Selama ini banyak video hamas nembak dan berhasil kena tapi tidak ad video bukti aftermath kalo tank itu benar2 hancur";0;0;0;4;in;1394193166496985088;1734172050133254222;JMuller237;https://twitter.com/JMuller237/status/1734179230731362666
Mon Dec 11 11:51:48 +0000 2023;1734179169733312870;"@MussaBinIssa1 @eastafricatv Mkuu , Dunia haina usawa kila mmoja anakula urefu wa kamba yake.Ukiwa na nguvu (Madaraka/mamlaka) (Pesa-Utajiri) utaishi tofauti kabisa na wengine.Israeli inasema inajilinda wakati huo huo inaua Raia wasio na hatia na Hamas nao wanataka haki yao huku na wao wakileta madhara.";0;1;0;0;in;1320937660928696320;1734117595370926484;CirilKimat;https://twitter.com/CirilKimat/status/1734179169733312870
Mon Dec 11 11:50:54 +0000 2023;1734178944935428415;"@IDF Netanyahu funded Hamas";0;0;0;0;in;1598167185201197056;1733760230868062536;itspawsibl;https://twitter.com/itspawsibl/status/1734178944935428415
Mon Dec 11 11:49:51 +0000 2023;1734178678815219941;"@WarMonitors Palestinian civilian = Hamas militant?";0;0;0;0;in;3024652913;1733888143957311846;jpgmhd;https://twitter.com/jpgmhd/status/1734178678815219941
Mon Dec 11 11:48:52 +0000 2023;1734178432756658306;"IDF umumkan tewasnya seekor kera:  Sersan Mayor (resp.) Gideon Ilani, 35 tahun, Mashael, seorang prajurit di Batalyon 2855, formasi 'Hod Hanit' (55), tewas dalam pertempuran di Jalur Gaza  @IDF wkwkwkw #Hamas #Gaza #jihad #KhilafahPerisaiHakiki https://t.co/XgCgHR4ZpW";0;0;0;0;in;1574408422434705409;1734178432756658306;bang_kariem;https://twitter.com/bang_kariem/status/1734178432756658306
